업종,제목,작성자,증권사,작성일
철강금속,"철근, 녹록지 않은 것은 분명",이현수,유안타증권,2023-03-09
음식료,(가격인상) 버거킹 47종 제품 평균 2% 가격 인상,김정욱,메리츠증권,2023-03-09
은행,"한국신용데이터, ‘소상공인 특화 은행’ 의지",조아해,메리츠증권,2023-03-09
금융,"보증금 돌려받아 빚 갚았어요... 은행, 전세대출 상환 '러시'",조아해,메리츠증권,2023-03-09
신재생에너지,태양광 매수할테양,이주영,이베스트투자증권,2023-03-08
제약,"삼성바이오, 화이자 의약품 위탁생산 2,410억 규모",이선경,IBK투자증권,2023-03-08
자동차,"1회 충전 410㎞, 현대차 ‘신형 코나’ 글로벌 공개",김준성,메리츠증권,2023-03-08
은행,은행 업황 방향성 점검,조아해,메리츠증권,2023-03-08
음식료,"(KT&G) FCP, 11건 주주 제안 중 9건 정기 주주총회 안건으로 채택",김정욱,메리츠증권,2023-03-08
운송,"이스타항공, 26일부터 김포~제주 비행기 띄운다",배기연,메리츠증권,2023-03-08
금융,"금융당국, 한시적 시장안정화 조치 연장 검토...""규제 완화 유지 의견 많아""",조아해,메리츠증권,2023-03-08
전기전자,디스플레이 3월 상반월 LCD 패널가,김선우,메리츠증권,2023-03-07
자동차,"현대차, 아세안 시장 고속 질주...13만대 판매·전년 比 32.6%↑",김준성,메리츠증권,2023-03-07
음식료,"(삼양식품) 인도네시아 해외법인 설립, 동남아시아 지역 사업 강화",김정욱,메리츠증권,2023-03-07
운송,"“일요일에도 택배 받는다”...CJ대한통운, 통합 배송 브랜드 ‘오네’ 시작",배기연,메리츠증권,2023-03-07
금융,"""살릴 건 살리자"" 금융당국, 금융지주 부동산PF 지원사격",조아해,메리츠증권,2023-03-07
통신,제 4 이동통신사업자 도입 에 대한 정부의 의지 확인,최남곤,유안타증권,2023-03-06
증권,STO 활성화에는 유동성이 필요,정태준,유안타증권,2023-03-06
전기전자,[2차전지 weekly] 투자 전략서,이안나,유안타증권,2023-03-06
통신,LEO:너와 나의 연결고리,"정지수,김선우",메리츠증권,2023-03-06
제약,그 약이 알고 싶다#1,박송이,메리츠증권,2023-03-06
자동차,美서 현대차·기아 SUV 판매비중 70% 돌파...연 100만대 시대,김준성,메리츠증권,2023-03-06
음식료,"일본산 위스키, 사케 수요 증가 중, 슬램덩크, 일본여행 등 일본 제품 및 문화 수요 회복",김정욱,메리츠증권,2023-03-06
운송,그린LNG보다 그린메탄올이 더 시급해,배기연,메리츠증권,2023-03-06
금융,"더 강화된 예대금리차 공시...""기존 신규액에 잔액 기준도 추가""",조아해,메리츠증권,2023-03-06
전기전자,주목할 포인트 2가지,이안나,유안타증권,2023-03-03
자동차,"중국, 올해말까지 전기차 구매세 감면 추진",김준성,메리츠증권,2023-03-03
음식료,"(CJ제일제당) 가공식품, 장류 가격 인상 계획 철회",김정욱,메리츠증권,2023-03-03
운송,현대삼호중공업 북미 선사에서 LNG운반선 3척 수주,배기연,메리츠증권,2023-03-03
금융,금리 상승 조짐에... 예적금 대기 증가세로,조아해,메리츠증권,2023-03-03
은행,1월 가중평균금리 동향: 신규 수신금리 큰 폭으로 하락,전배승,이베스트투자증권,2023-03-02
건설,"미분양 주택 증가 불가피, 증가율은 점차 둔화 전망",김기룡,유안타증권,2023-03-02
제약,"제약, 바이오 weekly",이선경,IBK투자증권,2023-03-02
자동차,"현대차·기아, 미국 자동차 시장서 역대 2월 최다 판매 기록","김준성,",장재혁,2023-03-02
음식료,"주류업계, 소주, 맥주 가격 일제히 동결키로 하면서 식품업계 가격인상 눈치보기 돌입","김정욱,",이성우,2023-03-02
운송,"영국, 대한항공-아시아나 합병 승인","배기연,",오정하,2023-03-02
반도체,미국 반도체 재정 인센티브의 두 가지 함정,"김선우,",김동관,2023-03-02
자동차,절실한 미국 전기차 보조금...걸림돌은 높은 중국 의존도,김준성,메리츠증권,2023-02-28
음식료,"정부 압박에 하이트진로, 오비맥주 주류 가격 동결",김정욱,메리츠증권,2023-02-28
운송,현대중공업서 '조선산업 이중구조 개선' 상생협약 체결,배기연,메리츠증권,2023-02-28
금융,전세대출 금리 5%대 사라지고 4%대 안착... 하락세 이어질듯,조아해,메리츠증권,2023-02-28
통신,통신의 미래를 논하다...‘망사용료’ 전면에,정지수,메리츠증권,2023-02-27
자동차,"현대차그룹 ""주력 빼고 정리해라""...그간 늘린 '스타트업 투자' 회수 주문","김준성,",장재혁,2023-02-27
음식료,"(CJ제일제당) 아지노모토, CJ제일제당 상대로 낸 ‘감칠맛 소송’ 합의 종결 전망","김정욱,",이성우,2023-02-27
음식료,(롯데칠성) 처음처럼 새로 22.9월 출시 이후 누적 판매량 5000만병 돌파,"김정욱,",이성우,2023-02-27
운송,2023년 LNG 공급량 100MPTA 부족,"배기연,",오정하,2023-02-27
금융,"인뱅 3사, 연체 대출 3배 급증... 고금리에 신용자 상환력 하락",조아해,메리츠증권,2023-02-27
기타,나트륨이온배터리/게임체인저가 될 것인가?,황성현,유진투자증권,2023-02-24
자동차,기아 'EV3' 내년 생산...'반값 전기차' 테슬라와 대격돌,김준성,메리츠증권,2023-02-24
음식료,"(면세) 정부, 특허수수료 50% 감면 재연장",김정욱,메리츠증권,2023-02-24
음식료,"조선업계, 후판가 인상 공포 엄습...올해 협상도 팽팽",배기연,메리츠증권,2023-02-24
금융,이자 줄어드나 했더니... 다시 튀어오르는 대출금리,조아해,메리츠증권,2023-02-24
운송,컨설팅 없이 '몸값 11조' HMM 매각 속도낸다,"배기연,",오정하,2023-02-23
자동차,"현대차, '깜깜이 배당' 관행 없앤다...배당금 보고 투자 가능","김준성,",장재혁,2023-02-23
음식료,"(CJ제일제당) 고추장, 다시다 등 10종 가격 평균 8.4% 인상","김정욱,",이성우,2023-02-23
금융,"더 샇기도, 놔두기도... 은행 '충당금 딜레마'",조아해,메리츠증권,2023-02-23
전기전자,2 월 하반월 LCD 패널가,김선우,메리츠증권,2023-02-21
음식료,(곡물) '흑해 곡물 수출 협정‘ 연장 협상 이번 주에 열릴 예정,김정욱,메리츠증권,2023-02-21
금융,은행 예대율 일제히 '뚝'... 대출 문턱 낮아진다,조아해,메리츠증권,2023-02-21
통신,"尹 통신비 안정 요구에, 통신3사 30GB 데이터 무료 제공",정지수,메리츠증권,2023-02-20
전기전자,중국 12 월 스마트폰 출하량: 폭스콘 생산 정상화 확인,양승수,메리츠증권,2023-02-20
자동차,"SW에 공들이는 현대차, 올해 R&D 인력 세 자릿수 충원",김준성,메리츠증권,2023-02-20
음식료,"(주류) 소주, 맥주 가격 올해도 가격 오를 전망",김정욱,메리츠증권,2023-02-20
운송,"EU, 대한항공-아시아나 합병 최종심사 돌입...7월께 판가름",배기연,메리츠증권,2023-02-20
금융,"""청약통장 굳이 필요해?""...해지한 사람 속출, 반년새 5조 이탈",조아해,메리츠증권,2023-02-20
자동차,"경기 침체에 가격 부담 커져...중고차 시장, ‘가성비’ 떠오른다.",김준성,메리츠증권,2023-02-17
음식료,고물가에 외식 부담 늘면서 대형마트 즉석조리 식품 수요 증가,김정욱,메리츠증권,2023-02-17
운송,"한화, 대우조선 이어 HSD엔진 인수 나선다...""조선 경쟁력 강화""",배기연,메리츠증권,2023-02-17
