stock_name,2014,2015,2016,2017,2018,2019,2020,2021,2022
SK가스,2000.0,2000.0,2600.0,2600.0,3000.0,3000.0,4000.0,5100.0,6500.0
SK네트웍스,100.0,100.0,100.0,120.0,120.0,120.0,120.0,120.0,120.0
SK디스커버리,300.0,300.0,350.0,750.0,600.0,700.0,1000.0,1500.0,1700.0
SK디앤디,2600.0,400.0,530.0,600.0,600.0,600.0,600.0,800.0,800.0
SK렌터카,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
SK리츠,,,,,,,53.0,70.0,71.0
SK바이오사이언스,,,,0.0,0.0,0.0,0.0,0.0,0.0
SK바이오팜,,,,,,,,,
SK스퀘어,,,,,,,0.0,0.0,0.0
SK아이이테크놀로지,,,,,,,0.0,0.0,0.0
SK오션플랜트,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK이노베이션,0.0,4800.0,6400.0,8000.0,8000.0,3000.0,0.0,2327.0,5840.0
SK증권,0.0,0.0,0.0,0.0,10.0,10.0,10.0,15.0,5.0
SK케미칼,,,,0.0,400.0,450.0,2000.0,3000.0,1500.0
SK텔레콤,9400.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,3295.0,3320.0
SK하이닉스,300.0,500.0,600.0,1000.0,1500.0,1000.0,1170.0,1540.0,1200.0
SM C&C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SM Life Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNT다이내믹스,100.0,200.0,0.0,0.0,200.0,300.0,300.0,400.0,500.0
SNT모티브,800.0,1000.0,1000.0,1000.0,1200.0,1400.0,1600.0,1600.0,1600.0
SNT에너지,500.0,500.0,0.0,0.0,0.0,800.0,800.0,800.0,800.0
SNT홀딩스,200.0,250.0,350.0,200.0,400.0,500.0,650.0,700.0,700.0
SPC삼립,762.0,869.0,956.0,956.0,1004.0,1104.0,1104.0,1500.0,1700.0
STX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STX엔진,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STX중공업,,,,,,,,,
SUN&L,150.0,167.0,205.0,0.0,70.0,0.0,0.0,80.0,0.0
SV인베스트먼트,,,,0.0,0.0,120.0,30.0,50.0,60.0
TBH글로벌,,,,,,,,,
TCC스틸,50.0,0.0,0.0,0.0,80.0,30.0,15.0,150.0,120.0
THE E&M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THE MIDONG,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TJ미디어,0.0,100.0,60.0,80.0,0.0,50.0,0.0,60.0,230.0
TKG애강,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TKG휴켐스,,,,,,,,,
TPC,25.0,25.0,25.0,25.0,25.0,15.0,35.0,35.0,25.0
TS인베스트먼트,0.0,0.0,0.0,15.0,20.0,25.0,25.0,10.0,10.0
TS트릴리온,,,,0.0,0.0,0.0,10.0,0.0,0.0
TYM,100.0,150.0,10.0,15.0,10.0,0.0,0.0,20.0,60.0
WISCOM,250.0,150.0,100.0,0.0,0.0,50.0,50.0,50.0,50.0
YBM넷,210.0,210.0,150.0,100.0,100.0,0.0,0.0,100.0,150.0
YG PLUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YTN,10.0,0.0,15.0,20.0,20.0,10.0,30.0,50.0,60.0
YW,100.0,0.0,100.0,100.0,100.0,50.0,100.0,100.0,150.0
iMBC,30.0,30.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
가비아,20.0,30.0,30.0,30.0,30.0,40.0,60.0,70.0,70.0
가온그룹,100.0,100.0,100.0,120.0,100.0,100.0,50.0,100.0,100.0
가온전선,600.0,600.0,600.0,600.0,600.0,600.0,600.0,420.0,50.0
가온칩스,,,,,,,0.0,0.0,0.0
감성코퍼레이션,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강남제비스코,500.0,500.0,500.0,550.0,550.0,500.0,500.0,500.0,500.0
강스템바이오텍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원랜드,850.0,980.0,990.0,990.0,900.0,900.0,0.0,0.0,350.0
강원에너지,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
갤럭시아머니트리,0.0,0.0,25.0,30.0,35.0,55.0,0.0,0.0,0.0
갤럭시아에스엠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경남스틸,300.0,300.0,150.0,350.0,70.0,90.0,100.0,100.0,130.0
경남제약,,,,,,,,,
경농,220.0,240.0,265.0,295.0,250.0,220.0,250.0,350.0,400.0
경동나비엔,100.0,100.0,150.0,200.0,250.0,300.0,350.0,450.0,500.0
경동도시가스,,,,750.0,875.0,875.0,875.0,875.0,875.0
경동인베스트,1250.0,1250.0,1250.0,500.0,500.0,500.0,500.0,750.0,750.0
경동제약,600.0,600.0,700.0,400.0,300.0,400.0,500.0,500.0,400.0
경방,500.0,1250.0,180.0,180.0,125.0,125.0,125.0,125.0,125.0
경보제약,3000.0,275.0,200.0,250.0,200.0,100.0,100.0,50.0,50.0
경인양행,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
경인전자,,,,,,,,,
경창산업,80.0,50.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
계룡건설,,,,,,,,,
계양전기,45.0,55.0,65.0,55.0,60.0,35.0,35.0,35.0,25.0
고려산업,45.0,30.0,30.0,35.0,30.0,30.0,35.0,40.0,25.0
고려시멘트,,,,,,,,,
고려신용정보,75.0,150.0,175.0,200.0,220.0,250.0,275.0,300.0,330.0
고려아연,6500.0,8500.0,8500.0,10000.0,11000.0,14000.0,15000.0,20000.0,20000.0
고려제강,350.0,350.0,350.0,350.0,350.0,350.0,300.0,300.0,300.0
고려제약,70.0,70.0,100.0,90.0,100.0,100.0,150.0,170.0,180.0
고바이오랩,,,,,,,0.0,0.0,0.0
골드앤에스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
골드퍼시픽,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
골든센츄리,0.0,0.0,82.0,52.0,0.0,3.0,0.0,0.0,0.0
골프존뉴딘홀딩스,500.0,580.0,117.0,117.0,117.0,117.0,117.0,140.0,163.0
공구우먼,,,,,,,0.0,2400.0,180.0
광동제약,80.0,80.0,80.0,80.0,80.0,80.0,100.0,100.0,100.0
광림,,,,,,,,,
광명전기,0.0,0.0,0.0,0.0,0.0,15.0,15.0,10.0,10.0
광무,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
광전자,0.0,0.0,0.0,50.0,50.0,50.0,0.0,50.0,50.0
광주신세계,1250.0,1250.0,1250.0,1250.0,3000.0,3500.0,3500.0,8500.0,2200.0
광진실업,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
교보증권,100.0,150.0,170.0,300.0,350.0,400.0,450.0,500.0,200.0
교촌에프앤비,,,,,,,200.0,300.0,200.0
구영테크,0.0,100.0,0.0,50.0,30.0,30.0,30.0,30.0,30.0
