stock_name,2014,2015,2016,2017,2018,2019,2020,2021,2022
경창산업,1627.0,899.0,518.0,1385.0,633.0,2089.0,135.0,119.0,581.0
계룡건설,,,,,,,,,
계양전기,191.0,282.0,499.0,214.0,226.0,78.0,276.0,191.0,753.0
고려산업,375.0,233.0,288.0,208.0,160.0,182.0,278.0,183.0,28.0
고려시멘트,,,,,,,,,
고려신용정보,88.0,288.0,267.0,258.0,336.0,476.0,740.0,708.0,761.0
고려아연,28362.0,28820.0,33519.0,35591.0,29841.0,35811.0,32418.0,45648.0,42967.0
고려제강,16153.0,1076.0,2222.0,1185.0,169.0,499.0,366.0,5645.0,3524.0
고려제약,198.0,162.0,463.0,429.0,601.0,357.0,677.0,828.0,1095.0
고바이오랩,,,,,,,5138.0,959.0,1305.0
골드앤에스,840.0,562.0,20.0,381.0,2510.0,10098.0,414.0,36.0,97.0
골드퍼시픽,268.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
골든센츄리,564.0,648.0,785.0,642.0,227.0,137.0,123.0,99.0,22.0
골프존뉴딘홀딩스,2156.0,23073.0,94.0,505.0,166.0,752.0,659.0,3152.0,2032.0
공구우먼,,,,,,,289.0,580.0,552.0
광동제약,869.0,868.0,692.0,572.0,551.0,582.0,1119.0,585.0,588.0
광림,,,,,,,,,
광명전기,192.0,148.0,218.0,45.0,60.0,185.0,108.0,134.0,124.0
광무,46.0,130.0,4.0,144.0,157.0,159.0,300.0,9.0,257.0
광전자,195.0,97.0,38.0,55.0,126.0,66.0,314.0,219.0,275.0
광주신세계,26397.0,28688.0,28471.0,29904.0,28183.0,29953.0,27120.0,32922.0,7157.0
광진실업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0
교보증권,858.0,2276.0,1796.0,2103.0,2216.0,2391.0,2091.0,2255.0,681.0
교촌에프앤비,,,,,,,1107.0,1195.0,214.0
구영테크,123.0,223.0,142.0,81.0,296.0,136.0,29.0,127.0,159.0
국도화학,3495.0,9618.0,4490.0,7101.0,8056.0,6219.0,4381.0,21321.0,8626.0
국동,2011.0,1168.0,1157.0,734.0,221.0,184.0,308.0,161.0,67.0
국보,6895.0,3989.0,4221.0,168.0,228.0,370.0,415.0,305.0,314.0
국보디자인,1459.0,1436.0,1470.0,1827.0,1903.0,2249.0,2895.0,2843.0,3036.0
국순당,193.0,214.0,150.0,563.0,153.0,295.0,1181.0,1369.0,295.0
국영지앤엠,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
국일신동,184.0,66.0,38.0,294.0,100.0,9.0,8.0,78.0,91.0
국일제지,36.0,172.0,3.0,15.0,19.0,321.0,4.0,65.0,114.0
국전약품,,,,,,,,,
국제약품,447.0,377.0,48.0,66.0,125.0,272.0,120.0,81.0,184.0
그래디언트,283.0,225.0,1073.0,1259.0,155.0,89.0,,,
그리티,,,,460.0,286.0,89.0,49.0,349.0,101.0
그린케미칼,649.0,177.0,144.0,105.0,106.0,236.0,442.0,683.0,123.0
그린플러스,0.0,0.0,0.0,647.0,799.0,667.0,208.0,398.0,252.0
극동유화,2667.0,4155.0,401.0,233.0,484.0,422.0,229.0,339.0,593.0
글로벌에스엠,111.0,5.0,75.0,7.0,8.0,32.0,28.0,17.0,115.0
글로벌텍스프리,,,,,,,,,
글로본,1731.0,333.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0
금강공업,4164.0,1214.0,6933.0,1080.0,653.0,406.0,67.0,762.0,1933.0
금강철강,336.0,392.0,326.0,173.0,313.0,265.0,172.0,631.0,332.0
금비,971.0,6049.0,11731.0,4344.0,8486.0,8088.0,4267.0,4566.0,16338.0
금양,3.0,430.0,0.0,517.0,533.0,279.0,95.0,295.0,575.0
금양그린파워,,,,,,,265.0,986.0,838.0
금호건설,,,,,,,,,
금호석유,,,,,,,,,
금호에이치티,1345.0,1572.0,967.0,505.0,632.0,3.0,105.0,130.0,121.0
금호전기,978.0,7974.0,3546.0,3095.0,6136.0,2671.0,833.0,761.0,728.0
금호타이어,860.0,439.0,228.0,796.0,830.0,151.0,289.0,248.0,275.0
금화피에스시,3565.0,3773.0,3986.0,3441.0,6615.0,4614.0,5034.0,3919.0,4707.0
기가레인,,,,,,,,,
기산텔레콤,181.0,106.0,173.0,331.0,228.0,231.0,3.0,80.0,209.0
기신정기,674.0,619.0,106.0,10.0,299.0,516.0,298.0,335.0,291.0
기아,,,,,,,,,
기업은행,1539.0,1672.0,1647.0,2178.0,2531.0,2242.0,1977.0,2877.0,3320.0
까뮤이앤씨,506.0,1145.0,729.0,1904.0,39.0,305.0,208.0,68.0,358.0
까스텔바작,,,,1059.0,1869.0,1083.0,727.0,1020.0,1440.0
깨끗한나라,92.0,60.0,207.0,604.0,907.0,326.0,1023.0,225.0,78.0
꿈비,,,,,,,1705.0,1444.0,216.0
나노,,,,,,,,,
나노브릭,,,,0.0,0.0,0.0,9.0,164.0,121.0
나노신소재,355.0,715.0,548.0,637.0,717.0,541.0,156.0,703.0,1811.0
